SeqNr,Date,Time,Long,Lat,East,North,RealT,LiveT,NrROIs,Step(m),Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
1,2024-10-15,12:20:15,13.0166002,55.7801677,1325041.5,6186871.4,1.00,0.98,10,5.00,0.00,619.39,25.14,291.84,17.26,106.12,10.41,51.02,7.22,37.76,6.21,95.92,9.89,47.96,7.00,51.02,7.22,17.35,4.21,8.16,2.89
2,2024-10-15,12:20:16,13.0165373,55.7792319,1325037.7,6186874.6,1.00,1.16,10,5.00,5.00,629.72,23.34,306.05,16.27,134.62,10.79,37.40,5.69,29.30,5.03,72.48,7.92,46.90,6.37,61.23,7.28,11.48,3.15,14.30,3.52
3,2024-10-15,12:20:17,13.0164771,55.7792613,1325034.0,6186878.1,1.00,1.03,10,5.00,10.00,597.84,24.13,267.60,16.14,115.58,10.61,41.61,6.37,28.51,5.27,73.00,8.43,64.44,7.92,47.27,6.79,12.85,3.54,6.02,2.42
4,2024-10-15,12:20:18,13.0164251,55.7792954,1325030.9,6186882.0,1.00,0.98,10,5.00,15.00,596.11,24.67,286.46,17.10,109.24,10.56,50.06,7.15,21.50,4.69,78.70,8.96,52.16,7.30,56.11,7.57,7.13,2.70,13.21,3.67
5,2024-10-15,12:20:19,13.0163695,55.7793275,1325027.6,6186885.7,1.00,1.02,10,5.00,20.00,548.52,23.20,306.43,17.34,93.82,9.59,36.04,5.95,19.80,4.41,58.92,7.60,45.35,6.67,46.92,6.78,15.48,3.90,12.30,3.47
6,2024-10-15,12:20:20,13.0163176,55.7793615,1325024.5,6186889.6,1.00,1.00,10,5.00,25.00,557.62,23.61,297.91,17.26,101.10,10.05,49.31,7.02,37.02,6.08,91.27,9.55,46.51,6.82,60.95,7.80,10.19,3.19,3.01,1.73
7,2024-10-15,12:20:21,13.0162631,55.7793942,1325021.2,6186893.4,1.00,1.00,10,5.00,30.00,553.30,23.47,265.31,16.25,138.37,11.74,21.13,4.59,23.57,4.84,49.31,7.01,64.94,8.04,47.20,6.85,8.70,2.94,8.82,2.96
8,2024-10-15,12:20:23,13.0162099,55.7794277,1325018.0,6186897.2,1.00,1.02,10,5.00,35.00,552.95,23.28,286.59,16.76,124.80,11.06,39.22,6.20,28.47,5.28,70.63,8.32,45.47,6.67,46.78,6.77,12.77,3.54,6.94,2.61
9,2024-10-15,12:20:24,13.0161621,55.7794636,1325015.2,6186901.4,1.00,0.98,10,5.00,40.00,583.04,24.35,281.48,16.92,95.99,9.88,52.38,7.30,18.74,4.37,75.53,8.77,52.77,7.33,55.21,7.49,7.55,2.77,7.38,2.74
10,2024-10-15,12:20:25,13.0161161,55.7795002,1325012.5,6186905.6,1.00,1.01,10,5.00,45.00,521.29,22.75,258.53,16.02,111.09,10.50,40.78,6.36,27.46,5.22,73.13,8.52,40.14,6.31,55.36,7.41,8.21,2.85,8.41,2.89
