SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
1,13.9130172,56.1012041,1382251.4,6220707.2,1,0.98,0,1021.43,32.28,504.08,22.68,229.59,15.31,77.55,8.9,58.16,7.7,144.9,12.16,114.29,10.8,153.06,12.5,10.2,3.23,11.22,3.38
2,13.9130611,56.1002762,1382254.2,6220711.4,1,0.98,5,975.55,31.48,511.43,22.8,244.78,15.77,77.19,8.86,67.68,8.29,157.12,12.64,110.92,10.62,143.59,12.08,10.18,3.22,13.41,3.69
3,13.9131102,56.1003137,1382257.4,6220715.5,1,0.99,10,884.28,29.9,520.31,22.94,278.03,16.77,74.32,8.67,87.83,9.42,180.1,13.5,105.88,10.35,125.8,11.28,9.78,3.14,17.27,4.18
4,13.9131583,56.1003514,1382260.5,6220719.6,1,0.99,15,801.75,28.41,528.9,23.07,307.8,17.6,71.94,8.51,105.94,10.33,201,14.22,101.16,10.09,109.61,10.5,9.45,3.08,20.81,4.58
5,13.9131991,56.1003903,1382263.2,6220723.9,1,1,20,782.06,28,535.36,23.17,312.57,17.7,73.03,8.56,109.32,10.47,207.01,14.41,98.76,9.95,104.95,10.26,9.65,3.11,22.03,4.7
6,13.9132265,56.1004315,1382265,6220728.4,1,1,25,879.32,29.66,537.86,23.2,270.81,16.46,80.59,8.98,85.29,9.24,185.27,13.61,100.67,10.04,121.71,11.03,10.84,3.29,18.94,4.35
7,13.9132333,56.1004758,1382265.6,6220733.3,1,1,30,1074.4,32.78,544.19,23.33,188.98,13.75,92.92,9.64,41.29,6.43,143.79,11.99,107.49,10.37,151.46,12.31,15.23,3.9,11.84,3.44
8,13.9132043,56.1005172,1382263.9,6220738,1,1,35,1096.34,33.11,559.37,23.65,230.97,15.2,81.08,9,63.99,8,153.39,12.39,106.26,10.31,132.74,11.52,16.09,4.01,13.83,3.72
9,13.9131405,56.1005432,1382260,6220741,1,1,40,1084.7,32.93,521.68,22.84,234.94,15.33,73.12,8.55,53.71,7.33,135.71,11.65,111.73,10.57,134.6,11.6,14.64,3.83,13.14,3.62
10,13.9130635,56.1005558,1382255.2,6220742.5,1,1,45,1050.67,32.41,523.07,22.87,218.97,14.8,82.11,9.06,39.42,6.28,126.6,11.25,111.64,10.57,165.81,12.88,23.38,4.84,20.52,4.53
11,13.9129847,56.1005657,1382250.4,6220743.8,1,1,50,1003.98,31.69,546.35,23.37,235.18,15.34,87.88,9.37,60.35,7.77,159.08,12.61,113.86,10.67,141.21,11.88,24.17,4.92,10.18,3.19
12,13.9129115,56.1005841,1382245.9,6220745.9,1,1,55,1047.12,32.36,521.17,22.83,204.02,14.28,78.44,8.86,47.16,6.87,129.9,11.4,114.06,10.68,138.64,11.77,12.57,3.54,17.13,4.14
13,13.9128717,56.1006214,1382243.5,6220750.2,1,1,60,1058.12,32.46,560.32,23.62,204.99,14.29,97.01,9.83,65.67,8.09,178.81,13.34,110.1,10.47,150.47,12.24,14.78,3.84,16.08,4
14,13.9128665,56.1006659,1382243.3,6220755.1,1,1.01,65,1016.37,31.66,478.18,21.71,210.37,14.4,87.65,9.3,46.92,6.8,146.42,12.02,93.69,9.61,159.54,12.54,12.75,3.55,10.23,3.18
15,13.9128673,56.1007109,1382243.5,6220760.1,1,0.98,70,1045.69,32.69,562.47,23.98,250.35,16,88.45,9.51,49.81,7.14,142.26,12.06,117.93,10.98,123.64,11.24,15.08,3.93,9.66,3.14
16,13.9128659,56.1007558,1382243.6,6220765.1,1,1,75,1094.23,33.12,567.15,23.85,225.43,15.03,92.2,9.61,53.64,7.33,156.73,12.54,129.02,11.37,156.57,12.53,21.59,4.65,14.6,3.83
17,13.9128708,56.1008006,1382244,6220770.1,1,0.99,80,1114.74,33.49,554.05,23.61,225.65,15.07,87.27,9.37,55.35,7.46,156.12,12.53,112.68,10.65,169.84,13.07,19.29,4.41,13.77,3.72
18,13.9128778,56.1008453,1382244.6,6220775.1,1,0.97,85,1100.87,33.61,551.76,23.79,236.96,15.59,90.17,9.62,56.59,7.62,156.24,12.66,105.79,10.42,155.22,12.62,13.85,3.77,12.43,3.57
19,13.9128821,56.1008902,1382245,6220780.1,1,0.98,90,1067.01,33.08,549.87,23.75,231,15.39,103.77,10.32,57.36,7.67,166.56,13.07,126.16,11.37,141.69,12.05,12.93,3.64,16.01,4.05
20,13.9128863,56.100935,1382245.4,6220785,1,1,95,1035.86,32.23,540.73,23.28,237.34,15.43,98.54,9.94,55.67,7.47,160.82,12.7,140.84,11.88,141.12,11.89,14.46,3.81,19.61,4.43
21,13.9128912,56.1009799,1382245.8,6220790,1,1.02,100,1020.96,31.65,531.02,22.83,251.67,15.72,81.37,8.94,53.17,7.22,144.94,11.93,140.34,11.74,152.33,12.23,15.7,3.93,20,4.43
22,13.9128957,56.1010247,1382246.2,6220795,1,1.01,105,1028.18,31.91,533.62,22.99,250.52,15.75,78.69,8.83,53.38,7.27,142.56,11.88,131.92,11.43,167.06,12.86,14.51,3.79,16.2,4.01
23,13.9128996,56.1010695,1382246.6,6220800,1,0.98,110,1051.73,32.68,545.18,23.53,239.67,15.6,87.71,9.44,56.96,7.61,152.41,12.44,122.83,11.17,177.56,13.43,12.48,3.56,12.43,3.55
24,13.912903,56.1011143,1382247,6220805,1,0.97,115,1079.9,33.32,556.45,23.92,235.21,15.55,94.38,9.85,62.89,8.04,163.05,12.95,119.29,11.07,177.46,13.51,12.45,3.58,14.11,3.81
25,13.9129066,56.1011592,1382247.3,6220810,1,0.98,120,1092.53,33.45,566.03,24.08,236.53,15.56,93.22,9.77,66.81,8.27,165.66,13.02,120.01,11.09,169.52,13.18,14.29,3.83,18.88,4.4
