,SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11084,11085,13.9982752,55.8202456,1386740.8,6189395.9,1.0,1.0,55420,789.89,28.16,441.76,21.06,178.91,13.4,66.45,8.17,49.32,7.04,121.56,11.05,117.66,10.87,110.85,10.55,9.51,3.09,16.38,4.06
11085,11086,13.9983549,55.8202467,1386745.8,6189395.9,1.0,1.0,55425,786.69,28.02,452.6,21.25,185.19,13.59,65.05,8.06,49.95,7.06,123.44,11.1,113.17,10.63,118.04,10.85,10.34,3.21,15.47,3.93
11086,11087,13.9984346,55.8202489,1386750.8,6189396.0,1.0,1.0,55430,767.06,27.65,451.72,21.22,191.27,13.81,68.15,8.24,48.99,6.99,128.95,11.34,104.93,10.23,122.04,11.03,10.64,3.26,14.04,3.74
11087,11088,13.9985142,55.8202522,1386755.8,6189396.3,1.0,1.0,55435,747.31,27.32,442.65,21.03,193.36,13.9,72.05,8.48,49.49,7.03,135.98,11.66,97.16,9.85,123.72,11.12,10.34,3.21,12.55,3.54
11088,11089,13.9985935,55.8202566,1386760.8,6189396.6,1.0,1.0,55440,743.72,27.29,429.32,20.73,187.88,13.71,72.97,8.55,54.34,7.38,142.27,11.93,93.98,9.7,124.12,11.15,9.4,3.07,11.47,3.39
11089,11090,13.9986726,55.8202621,1386765.7,6189397.1,1.0,1.0,55445,755.61,27.51,417.58,20.45,176.43,13.3,70.37,8.4,61.84,7.87,145.58,12.08,95.08,9.76,123.87,11.14,8.4,2.9,10.82,3.29
11090,11091,13.9987516,55.8202683,1386770.7,6189397.7,1.0,1.0,55450,767.67,27.72,414.87,20.38,165.1,12.86,66.44,8.15,66.34,8.15,143.7,11.99,96.38,9.82,123.27,11.11,8.44,2.91,10.27,3.21
11091,11092,13.9988305,55.8202749,1386775.7,6189398.3,1.0,1.0,55455,765.1,27.63,427.69,20.66,159.8,12.63,63.33,7.95,62.49,7.9,134.67,11.59,93.9,9.68,122.67,11.06,10.51,3.24,9.51,3.08
11092,11093,13.9989095,55.8202814,1386780.6,6189398.9,1.0,1.0,55460,748.07,27.29,447.14,21.1,161.44,12.68,61.34,7.81,51.63,7.17,120.4,10.95,87.67,9.34,123.3,11.08,13.58,3.68,8.8,2.96
11093,11094,13.9989886,55.8202869,1386785.6,6189399.3,1.0,1.0,55465,728.25,26.97,452.51,21.26,167.09,12.92,59.34,7.7,40.23,6.34,105.75,10.28,80.81,8.98,127.13,11.27,15.07,3.88,8.89,2.98
11094,11095,13.9990681,55.820291,1386790.6,6189399.7,1.0,0.99,55470,715.66,26.9,428.53,20.81,173.5,13.24,56.72,7.57,34.07,5.87,95.62,9.83,76.24,8.78,134.91,11.68,12.96,3.62,10.32,3.23
11095,11096,13.9991477,55.820294,1386795.6,6189399.9,1.0,0.98,55475,708.62,26.91,394.66,20.08,176.17,13.42,56.29,7.58,33.98,5.89,94.58,9.83,75.49,8.78,140.15,11.97,9.09,3.05,12.66,3.6
11096,11097,13.9992273,55.8202969,1386800.6,6189400.1,1.0,0.98,55480,701.18,26.69,382.89,19.72,170.21,13.15,62.04,7.94,38.89,6.28,106.95,10.42,79.5,8.99,133.82,11.66,6.67,2.6,15.06,3.91
11097,11098,13.9993068,55.8203002,1386805.6,6189400.3,1.0,1.01,55485,694.33,26.27,400.42,19.95,157.29,12.5,72.21,8.47,46.02,6.76,127.78,11.27,87.36,9.32,117.14,10.79,7.83,2.79,16.3,4.02
11098,11099,13.9993862,55.8203041,1386810.6,6189400.6,1.0,1.02,55490,699.59,26.19,416.88,20.22,148.93,12.08,76.39,8.65,50.03,7.0,138.21,11.64,95.36,9.67,106.8,10.23,13.03,3.57,14.57,3.78
11099,11100,13.9994656,55.8203086,1386815.6,6189401.0,1.0,1.01,55495,722.85,26.75,409.53,20.13,153.47,12.33,67.8,8.19,47.95,6.89,126.45,11.19,99.69,9.93,113.27,10.59,20.35,4.49,9.45,3.06
11100,11101,13.999545,55.8203131,1386820.6,6189401.4,1.0,1.0,55500,746.87,27.34,394.04,19.86,164.82,12.84,55.31,7.44,46.04,6.79,110.16,10.5,97.0,9.85,120.23,10.97,20.0,4.47,5.76,2.4
11101,11102,13.9996243,55.8203179,1386825.6,6189401.8,1.0,1.0,55505,761.92,27.58,385.06,19.61,173.14,13.15,49.26,7.01,49.1,7.0,106.19,10.3,84.63,9.19,116.25,10.77,9.19,3.03,7.6,2.75
