SeqNr,Date,Time,Long,Lat,East,North,RealT,LiveT,NrROIs,Step(m),Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
1,2024-10-15,12:16:12,13.0155750,55.7809262,1324980.6,6186958.4,1.00,1.02,10,5.00,0.00,507.84,22.31,239.22,15.31,92.16,9.51,25.49,5.00,22.55,4.70,54.90,7.34,53.92,7.27,68.63,8.20,5.88,2.40,3.92,1.96
2,2024-10-15,12:16:13,13.0155295,55.7799997,1324977.9,6186962.6,1.00,1.13,10,5.00,5.00,544.80,21.94,255.10,15.01,99.72,9.39,33.07,5.41,28.33,5.00,67.45,7.72,53.41,6.87,61.33,7.36,8.89,2.80,5.37,2.18
3,2024-10-15,12:16:13,13.0154830,55.7800361,1324975.2,6186966.8,1.00,1.18,10,5.00,10.00,567.85,21.98,258.41,14.83,106.05,9.50,36.18,5.55,30.08,5.06,70.99,7.77,53.54,6.75,53.46,6.75,11.41,3.12,7.20,2.48
4,2024-10-15,12:16:14,13.0154342,55.7800716,1324972.3,6186970.9,1.00,1.08,10,5.00,15.00,558.09,22.78,239.13,14.91,107.50,10.00,30.40,5.32,23.82,4.71,56.92,7.28,54.97,7.15,46.37,6.57,12.67,3.43,9.40,2.96
5,2024-10-15,12:16:14,13.0153851,55.7801069,1324969.3,6186974.9,1.00,0.98,10,5.00,20.00,533.45,23.29,236.40,15.50,99.33,10.05,26.96,5.24,19.64,4.47,48.69,7.04,56.26,7.56,47.73,6.97,13.04,3.64,9.80,3.16
6,2024-10-15,12:16:15,13.0153367,55.7801426,1324966.5,6186979.0,1.00,0.99,10,5.00,25.00,514.02,22.84,260.10,16.24,85.73,9.33,30.90,5.60,22.30,4.76,56.29,7.56,55.38,7.50,56.75,7.59,12.36,3.54,7.95,2.84
7,2024-10-15,12:16:15,13.0152869,55.7801776,1324963.5,6186983.0,1.00,1.01,10,5.00,30.00,514.26,22.62,260.26,16.09,85.81,9.24,33.26,5.75,24.33,4.92,59.79,7.71,50.13,7.06,57.24,7.55,9.38,3.05,6.73,2.59
8,2024-10-15,12:16:16,13.0152365,55.7802124,1324960.5,6186987.0,1.00,1.00,10,5.00,35.00,534.78,23.10,237.49,15.40,101.28,10.05,31.99,5.65,23.84,4.88,56.50,7.51,46.14,6.79,49.02,6.99,6.14,2.48,6.95,2.63
9,2024-10-15,12:16:16,13.0151892,55.7802485,1324957.7,6186991.2,1.00,1.00,10,5.00,40.00,560.19,23.72,249.46,15.83,112.95,10.65,34.33,5.87,25.95,5.10,64.71,8.06,55.21,7.45,50.03,7.09,7.67,2.78,6.88,2.63
10,2024-10-15,12:16:17,13.0151431,55.7802852,1324955.0,6186995.4,1.00,1.00,10,5.00,45.00,573.67,23.92,272.86,16.50,113.24,10.63,42.74,6.53,28.07,5.29,78.95,8.87,63.07,7.93,56.90,7.53,10.12,3.18,7.14,2.67
11,2024-10-15,12:16:18,13.0150940,55.7803206,1324952.0,6186999.4,1.00,1.02,10,5.00,50.00,568.55,23.61,267.26,16.19,104.79,10.14,52.85,7.20,27.18,5.16,85.68,9.17,55.33,7.37,59.29,7.63,9.06,2.98,8.10,2.82
12,2024-10-15,12:16:18,13.0150391,55.7803530,1324948.7,6187003.2,1.00,1.01,10,5.00,55.00,563.65,23.62,254.44,15.87,99.50,9.93,50.47,7.07,29.02,5.36,82.60,9.04,49.77,7.02,57.65,7.56,9.68,3.10,6.69,2.57
13,2024-10-15,12:16:19,13.0149816,55.7803841,1324945.3,6187006.8,1.00,0.98,10,5.00,60.00,571.66,24.13,252.42,16.04,100.76,10.13,39.50,6.34,31.75,5.69,75.10,8.75,53.47,7.38,54.42,7.45,12.95,3.63,4.16,2.06
14,2024-10-15,12:16:20,13.0149294,55.7804179,1324942.1,6187010.7,1.00,0.98,10,5.00,65.00,592.04,24.53,263.51,16.36,102.97,10.23,39.50,6.34,27.61,5.30,73.22,8.63,57.76,7.66,52.02,7.27,14.56,3.85,5.51,2.37
15,2024-10-15,12:16:20,13.0148812,55.7804538,1324939.3,6187014.8,1.00,1.00,10,5.00,70.00,608.00,24.61,279.19,16.68,107.29,10.34,44.90,6.69,26.97,5.18,78.75,8.86,55.76,7.45,50.83,7.12,13.59,3.68,8.58,2.92
16,2024-10-15,12:16:21,13.0148325,55.7804894,1324936.4,6187018.9,1.00,1.02,10,5.00,75.00,611.52,24.53,292.66,16.97,115.41,10.66,45.94,6.72,36.10,5.96,87.31,9.27,47.13,6.81,50.68,7.06,10.57,3.23,9.94,3.13
17,2024-10-15,12:16:21,13.0147780,55.7805220,1324933.1,6187022.6,1.00,1.02,10,5.00,80.00,623.64,24.68,307.61,17.34,124.80,11.04,43.41,6.51,39.70,6.23,88.52,9.30,43.03,6.48,51.56,7.10,6.56,2.53,9.01,2.97
18,2024-10-15,12:16:22,13.0147196,55.7805526,1324929.6,6187026.2,1.00,1.02,10,5.00,85.00,645.02,25.14,314.95,17.57,132.08,11.38,41.19,6.35,36.40,5.97,85.30,9.14,47.59,6.83,51.13,7.08,4.83,2.17,6.96,2.61
19,2024-10-15,12:16:23,13.0146632,55.7805843,1324926.2,6187029.9,1.00,1.00,10,5.00,90.00,659.93,25.69,301.78,17.37,134.80,11.61,43.01,6.56,36.71,6.06,88.82,9.42,57.36,7.57,47.32,6.88,8.64,2.94,6.13,2.47
20,2024-10-15,12:16:23,13.0146086,55.7806171,1324922.9,6187033.7,1.00,0.98,10,5.00,95.00,673.84,26.26,294.66,17.36,135.95,11.79,44.96,6.78,39.04,6.32,91.74,9.69,67.68,8.32,49.00,7.08,12.50,3.58,8.87,3.01
21,2024-10-15,12:16:24,13.0145539,55.7806497,1324919.6,6187037.4,1.00,0.97,10,5.00,100.00,686.71,26.59,312.33,17.94,137.58,11.90,43.66,6.71,39.79,6.40,87.55,9.50,72.26,8.63,60.10,7.87,11.62,3.46,14.93,3.92
22,2024-10-15,12:16:24,13.0144978,55.7806815,1324916.3,6187041.1,1.00,0.99,10,5.00,105.00,668.11,25.99,323.04,18.07,135.23,11.69,43.01,6.60,39.84,6.35,86.41,9.35,61.69,7.90,63.37,8.00,9.77,3.14,17.25,4.18
23,2024-10-15,12:16:25,13.0144406,55.7807127,1324912.8,6187044.7,1.00,1.02,10,5.00,110.00,627.35,24.84,319.52,17.73,131.05,11.35,45.81,6.71,41.22,6.37,94.67,9.65,43.75,6.56,54.64,7.33,9.11,2.99,13.20,3.60
24,2024-10-15,12:16:25,13.0143841,55.7807444,1324909.4,6187048.4,1.00,1.01,10,5.00,115.00,633.28,24.99,339.12,18.29,136.78,11.61,51.33,7.11,46.16,6.75,108.53,10.34,48.23,6.90,52.65,7.20,7.48,2.72,8.44,2.88
25,2024-10-15,12:16:26,13.0143261,55.7807751,1324905.9,6187052.0,1.00,1.00,10,5.00,120.00,667.89,25.86,366.47,19.15,144.46,12.03,59.18,7.70,52.86,7.27,122.72,11.08,54.11,7.36,52.39,7.24,5.89,2.43,7.13,2.67
26,2024-10-15,12:16:27,13.0142643,55.7808034,1324902.2,6187055.3,1.00,1.00,10,5.00,125.00,693.88,26.33,370.22,19.23,143.56,11.98,68.05,8.25,59.41,7.70,135.11,11.62,35.05,5.92,44.57,6.67,6.49,2.55,10.08,3.17
27,2024-10-15,12:16:27,13.0142022,55.7808316,1324898.4,6187058.6,1.00,1.00,10,5.00,130.00,754.93,27.54,358.89,18.99,146.35,12.13,73.20,8.58,69.40,8.35,152.62,12.38,26.72,5.18,45.52,6.76,9.27,3.05,12.52,3.55
28,2024-10-15,12:16:28,13.0141424,55.7808613,1324894.8,6187062.0,1.00,0.98,10,5.00,135.00,828.09,29.07,342.94,18.71,152.75,12.48,73.04,8.63,82.30,9.16,173.17,13.29,40.62,6.44,57.13,7.63,12.63,3.59,11.82,3.47
29,2024-10-15,12:16:28,13.0140846,55.7808922,1324891.3,6187065.6,1.00,0.99,10,5.00,140.00,798.10,28.34,327.26,18.15,144.21,12.05,70.95,8.45,90.85,9.56,181.28,13.51,44.20,6.67,57.89,7.63,13.58,3.70,9.72,3.13
30,2024-10-15,12:16:29,13.0140279,55.7809237,1324887.9,6187069.2,1.00,1.02,10,5.00,145.00,742.04,26.94,326.64,17.88,142.58,11.81,69.56,8.25,89.55,9.36,173.16,13.02,42.58,6.45,52.80,7.19,12.66,3.52,8.87,2.95
31,2024-10-15,12:16:30,13.0139710,55.7809551,1324884.5,6187072.9,1.00,1.03,10,5.00,150.00,789.07,27.69,353.20,18.53,175.17,13.05,73.48,8.45,82.07,8.93,164.09,12.63,53.64,7.22,55.64,7.35,11.63,3.36,10.09,3.13
32,2024-10-15,12:16:30,13.0139130,55.7809859,1324881.0,6187076.5,1.00,1.00,10,5.00,155.00,866.13,29.38,392.24,19.77,210.31,14.48,93.99,9.68,94.07,9.68,200.24,14.12,60.40,7.76,55.97,7.47,9.65,3.10,8.19,2.86
33,2024-10-15,12:16:31,13.0138525,55.7810152,1324877.3,6187079.9,1.00,0.98,10,5.00,160.00,918.75,30.62,424.37,20.81,216.25,14.86,112.50,10.72,117.61,10.96,248.55,15.93,57.94,7.69,54.24,7.44,9.38,3.09,6.26,2.53
34,2024-10-15,12:16:32,13.0137881,55.7810416,1324873.4,6187083.0,1.00,1.00,10,5.00,165.00,948.88,30.85,444.64,21.12,197.16,14.06,103.86,10.21,125.88,11.24,247.37,15.75,56.31,7.52,57.42,7.59,12.86,3.59,9.88,3.15
35,2024-10-15,12:16:33,13.0137188,55.7810637,1324869.1,6187085.6,1.00,1.00,10,5.00,170.00,960.43,30.95,481.77,21.92,218.24,14.76,110.48,10.50,142.01,11.90,284.98,16.86,54.67,7.39,52.37,7.23,10.72,3.27,6.63,2.57
36,2024-10-15,12:16:34,13.0136474,55.7810837,1324864.7,6187088.0,1.00,1.00,10,5.00,175.00,981.61,31.38,503.57,22.48,243.77,15.64,121.93,11.06,138.24,11.78,295.41,17.22,58.25,7.64,71.63,8.48,11.43,3.39,4.79,2.19
37,2024-10-15,12:16:34,13.0135789,55.7811066,1324860.5,6187090.7,1.00,1.01,10,5.00,180.00,985.37,31.26,513.88,22.58,240.60,15.45,118.51,10.84,120.89,10.95,264.89,16.21,69.62,8.31,81.99,9.02,12.65,3.54,6.73,2.58
38,2024-10-15,12:16:35,13.0135116,55.7811305,1324856.4,6187093.6,1.00,1.02,10,5.00,185.00,960.56,30.70,523.39,22.66,232.60,15.11,108.44,10.31,121.32,10.91,253.41,15.77,77.41,8.71,62.98,7.86,9.67,3.08,7.93,2.79
39,2024-10-15,12:16:36,13.0134391,55.7811491,1324852.0,6187095.8,1.00,0.99,10,5.00,190.00,959.34,31.14,509.24,22.69,248.65,15.86,107.90,10.44,139.18,11.86,274.12,16.65,69.13,8.36,64.85,8.10,9.67,3.13,9.62,3.12
