East,North
1325041.5,6186871.4
1325036.9,6186875.3
1325033.9,6186878.2
1325030.9,6186882
1325027.4,6186885.9
1325024.4,6186889.7
1325021.9,6186892.6
1325017.9,6186897.4
1325014,6186903.2
1325011.5,6186907
1325009,6186910.8
1325006.6,6186914.6
1325004.1,6186918.4
1325001.7,6186922.2
1324999.2,6186926
1324996.8,6186930.8
1324994.3,6186935.5
1324991.9,6186939.3
1324989.4,6186943.2
1324986.9,6186947
1324984.5,6186950.8
1324981.5,6186954.6
1324979,6186958.4
1324977.1,6186962.2
1324975.1,6186965.1
1324973.1,6186968
1324971.2,6186971.8
1324969.2,6186974.6
1324967.2,6186977.5
1324964.8,6186981.3
1324962.3,6186984.2
1324960.3,6186987.1
1324958.3,6186989.9
1324956.3,6186992.8
1324954.4,6186995.7
1324952.9,6186997.6
1324950.9,6187000.4
1324948.4,6187003.3
1324946.4,6187006.2
1324944.4,6187009.1
1324941.9,6187012
1324939.4,6187014.8
1324936.9,6187017.7
1324933.9,6187021.6
1324930.9,6187024.5
1324927.9,6187027.4
1324925.4,6187030.3
1324922.9,6187033.2
1324919.9,6187037
1324916.9,6187039.9
1324914.3,6187041.9
1324911.8,6187044.7
1324908.8,6187047.7
1324905.8,6187050.6
1324902.8,6187054.4
1324899.8,6187057.3
1324896.8,6187060.2
1324893.7,6187063.1
1324890.7,6187065.1
1324887.6,6187068
1324884.6,6187070.9
1324881.6,6187073.8
1324879.1,6187076.7
1324876.6,6187078.7
1324874,6187080.6
1324871.5,6187082.6
1324868.9,6187084.6
1324866.4,6187086.5
1324862.8,6187088.5
1324859.2,6187090.5
1324856.2,6187092.5
1324853.1,6187094.5
1324850.1,6187096.5
1324847,6187098.5
1324844.5,6187100.4
1324842,6187103.3
1324838.9,6187106.2
1324836.4,6187108.2
1324834.4,6187110.1
1324832.4,6187113
1324830.4,6187115.8
1324827.9,6187117.8
1324825.4,6187120.7
1324823.4,6187123.6
1324820.9,6187126.4
1324818.4,6187129.3
1324815.9,6187132.2
1324812.9,6187135.1
1324809.9,6187138
1324806.3,6187140
1324802.6,6187141.1
1324799,6187142.2
1324794.8,6187142.4
1324790.7,6187142.5
1324786.5,6187142.7
1324782.3,6187142.9
1324778.1,6187142.1
1324773.9,6187141.4
1324769.7,6187141.5
1324763.4,6187141.8
1324759.2,6187141.9
1324757.7,6187142
1324754,6187142.2
1324748.3,6187143.3
1324744.7,6187144.4
1324741.6,6187145.4
1324736.9,6187147.5
1324733.8,6187148.5
1324731.3,6187149.6
1324728.8,6187152.5
1324726.3,6187155.3
1324724.2,6187157.3
1324722.2,6187159.2
1324720.3,6187162.1
1324718.3,6187165
1324716.3,6187167.8
1324714.3,6187170.7
1324712.4,6187173.6
1324709.9,6187177.4
1324706.9,6187180.3
1324703.8,6187183.2
1324700.9,6187187
1324697.9,6187190.9
